name,full_name,base,base_name,second,second_name
INR/HKD,INR/HKD - Indian Rupee Hong Kong Dollar,INR,Indian Rupee,HKD,Hong Kong Dollar
NOK/HKD,NOK/HKD - Norwegian Krone Hong Kong Dollar,NOK,Norwegian Krone,HKD,Hong Kong Dollar
PHP/HKD,PHP/HKD - Philippine Peso Hong Kong Dollar,PHP,Philippine Peso,HKD,Hong Kong Dollar
PLN/HKD,PLN/HKD - Polish Zloty Hong Kong Dollar,PLN,Polish Zloty,HKD,Hong Kong Dollar
RUB/HKD,RUB/HKD - Russian Ruble Hong Kong Dollar,RUB,Russian Ruble,HKD,Hong Kong Dollar
SAR/HKD,SAR/HKD - Saudi Riyal Hong Kong Dollar,SAR,Saudi Riyal,HKD,Hong Kong Dollar
SEK/HKD,SEK/HKD - Swedish Krona Hong Kong Dollar,SEK,Swedish Krona,HKD,Hong Kong Dollar
THB/HKD,THB/HKD - Thai Baht Hong Kong Dollar,THB,Thai Baht,HKD,Hong Kong Dollar
TRY/HKD,TRY/HKD - Turkish Lira Hong Kong Dollar,TRY,Turkish Lira,HKD,Hong Kong Dollar
TWD/HKD,TWD/HKD - Taiwan Dollar Hong Kong Dollar,TWD,Taiwan Dollar,HKD,Hong Kong Dollar
VES/HKD,VES/HKD - Venezuelan Bolivar Hong Kong Dollar,VES,Venezuelan Bolivar,HKD,Hong Kong Dollar
HKD/RUB,HKD/RUB - Hong Kong Dollar Russian Ruble,HKD,Hong Kong Dollar,RUB,Russian Ruble
USD/HNL,USD/HNL - US Dollar Honduran Lempira,USD,US Dollar,HNL,Honduran Lempira
USD/HRK,USD/HRK - US Dollar Croatian Kuna,USD,US Dollar,HRK,Croatian Kuna
USD/HTG,USD/HTG - US Dollar Haitian Gourde,USD,US Dollar,HTG,Haitian Gourde
PLN/HUF,PLN/HUF - Polish Zloty Hungarian Forint,PLN,Polish Zloty,HUF,Hungarian Forint
USD/HUF,USD/HUF - US Dollar Hungarian Forint,USD,US Dollar,HUF,Hungarian Forint
NZD/HUF,NZD/HUF - New Zealand Dollar Hungarian Forint,NZD,New Zealand Dollar,HUF,Hungarian Forint
HUF/IDR,HUF/IDR - Hungarian Forint Indonesian Rupiah,HUF,Hungarian Forint,IDR,Indonesian Rupiah
HUF/INR,HUF/INR - Hungarian Forint Indian Rupee,HUF,Hungarian Forint,INR,Indian Rupee
HUF/JPY,HUF/JPY - Hungarian Forint Japanese Yen,HUF,Hungarian Forint,JPY,Japanese Yen
HUF/ISK,HUF/ISK - Hungarian Forint Icelandic Kr,HUF,Hungarian Forint,ISK,Icelandic Kr
HUF/KRW,HUF/KRW - Hungarian Forint Korean Won,HUF,Hungarian Forint,KRW,Korean Won
HUF/PHP,HUF/PHP - Hungarian Forint Philippine Peso,HUF,Hungarian Forint,PHP,Philippine Peso
HUF/PKR,HUF/PKR - Hungarian Forint Pakistani Rupee,HUF,Hungarian Forint,PKR,Pakistani Rupee
HUF/RUB,HUF/RUB - Hungarian Forint Russian Ruble,HUF,Hungarian Forint,RUB,Russian Ruble
HUF/THB,HUF/THB - Hungarian Forint Thai Baht,HUF,Hungarian Forint,THB,Thai Baht
HUF/XAF,HUF/XAF - Hungarian Forint Central African Franc,HUF,Hungarian Forint,XAF,Central African Franc
HUF/JMD,HUF/JMD - Hungarian Forint Jamaican Dollar,HUF,Hungarian Forint,JMD,Jamaican Dollar
HUF/KES,HUF/KES - Hungarian Forint Kenyan Shilling,HUF,Hungarian Forint,KES,Kenyan Shilling
HUF/LKR,HUF/LKR - Hungarian Forint Sri Lankan Rupee,HUF,Hungarian Forint,LKR,Sri Lankan Rupee
HUF/LBP,HUF/LBP - Hungarian Forint Lebanese Pound,HUF,Hungarian Forint,LBP,Lebanese Pound
HUF/NPR,HUF/NPR - Hungarian Forint Nepalese Rupee,HUF,Hungarian Forint,NPR,Nepalese Rupee
HUF/XOF,HUF/XOF - Hungarian Forint West African CFA franc,HUF,Hungarian Forint,XOF,West African CFA franc
ILS/HUF,ILS/HUF - Israeli Shekel Hungarian Forint,ILS,Israeli Shekel,HUF,Hungarian Forint
INR/HUF,INR/HUF - Indian Rupee Hungarian Forint,INR,Indian Rupee,HUF,Hungarian Forint
ISK/HUF,ISK/HUF - Icelandic Kr Hungarian Forint,ISK,Icelandic Kr,HUF,Hungarian Forint
JPY/HUF,JPY/HUF - Japanese Yen Hungarian Forint,JPY,Japanese Yen,HUF,Hungarian Forint
MXN/HUF,MXN/HUF - Mexican Peso Hungarian Forint,MXN,Mexican Peso,HUF,Hungarian Forint
NOK/HUF,NOK/HUF - Norwegian Krone Hungarian Forint,NOK,Norwegian Krone,HUF,Hungarian Forint
PHP/HUF,PHP/HUF - Philippine Peso Hungarian Forint,PHP,Philippine Peso,HUF,Hungarian Forint
PKR/HUF,PKR/HUF - Pakistani Rupee Hungarian Forint,PKR,Pakistani Rupee,HUF,Hungarian Forint
RUB/HUF,RUB/HUF - Russian Ruble Hungarian Forint,RUB,Russian Ruble,HUF,Hungarian Forint
SAR/HUF,SAR/HUF - Saudi Riyal Hungarian Forint,SAR,Saudi Riyal,HUF,Hungarian Forint
SEK/HUF,SEK/HUF - Swedish Krona Hungarian Forint,SEK,Swedish Krona,HUF,Hungarian Forint
SGD/HUF,SGD/HUF - Singapore Dollar Hungarian Forint,SGD,Singapore Dollar,HUF,Hungarian Forint
THB/HUF,THB/HUF - Thai Baht Hungarian Forint,THB,Thai Baht,HUF,Hungarian Forint
TRY/HUF,TRY/HUF - Turkish Lira Hungarian Forint,TRY,Turkish Lira,HUF,Hungarian Forint
TWD/HUF,TWD/HUF - Taiwan Dollar Hungarian Forint,TWD,Taiwan Dollar,HUF,Hungarian Forint
VES/HUF,VES/HUF - Venezuelan Bolivar Hungarian Forint,VES,Venezuelan Bolivar,HUF,Hungarian Forint
ZAR/HUF,ZAR/HUF - South African Rand Hungarian Forint,ZAR,South African Rand,HUF,Hungarian Forint
HUF/USD,HUF/USD - Hungarian Forint US Dollar,HUF,Hungarian Forint,USD,US Dollar
HUF/ILS,HUF/ILS - Hungarian Forint Israeli Shekel,HUF,Hungarian Forint,ILS,Israeli Shekel
HUF/RUB,HUF/RUB - Hungarian Forint Russian Ruble,HUF,Hungarian Forint,RUB,Russian Ruble
