country,name,full_name,symbol,issuer,isin,asset_class,underlying
italy,Vontobel Call VT 7XL XPD 18Dec20,Vontobel Call VT 7XL XPD 18Dec20,DEVN9AB3,,,,
italy,BNP CALL FTSE MIB Future 19Mar21,BNP PARIBAS ISSUANCE CALL Milan Stock Exchange FTSE MIB Index Future 19Mar21,NL266387,,,,
italy,Bnp Iss - Isp 21Nv23,Bnp Iss - Isp 21Nv23,XS1859575604,,,,
italy,Vontobel Call VT 7XL Nasdaq 100,Vontobel Call VT 7XL Nasdaq 100 18Dec20,DEVN9AA5,,,,
italy,Vontobel Call 7X Long Corn,Vontobel Financial Products GmbH Call 7X Long Index linked to Corn Future 18Dec20,DEVN9KLH,,,,
italy,ALETTI 181007 STOXX Div 30 15Sep23,BANCA ALETTI & C ZT 1810.07 EUR EURO STOXX Select Dividend 30 INDEX 15Sep23,IT521251,,,,
italy,Vontobel Put VT 7XS XAG 18Dec20,Vontobel Put VT 7XS XAG 18Dec20,DEVN9ABT,,,,
italy,Vontobel 4X Short on MIB,Vontobel Financial Products GmbH Fixed Lever 4X Short on MIB,DEVN9AAP,,,,
italy,SG EURO STOXX 50 Short 5 GR 18Jun21,SG Issuer SA ZT EURO STOXX 50 Daily Short 5 USD GR Index 18Jun21,LU940070,,,,
italy,Vontobel Call VT 7XL XAU 18Dec20,Vontobel Call VT 7XL XAU 18Dec20,DEVN9ABM,,,,
italy,Vontobel Put VT 5XS Coffee 2,Vontobel Put VT 5XS Coffee 2 18Dec20,DEVN9AB8,,,,
italy,Vontobel 5X Short on MIB,Vontobel Financial Products GmbH Fixed Lever 5X Short on MIB,DEVN9AAQ,,,,
italy,Vontobel Put VT 7XS XAU 18Dec20,Vontobel Put VT 7XS XAU 18Dec20,DEVN9ABP,,,,
italy,BNP Zt 13074 Intesa SanPaolo 28Aug2,BNP PARIBAS ISSUANCE Zt 2.179 EUR Intesa SanPaolo SpA 28Aug20,NL303053,,,,
italy,Vontobel Put VT 3XS NOKIA 3 16Jun23,Vontobel Financial Products GmbH Put VT 3XS NOKIA 3 Index 16Jun23,DEVN9D0V,,,,
italy,SG GOLD X7 LONG 18Jun21,SG ISSUER ZT GOLD X7 LONG 18Jun21,LU416992,,,,
italy,Vontobel 7X Long on Cocoa 9.09,Vontobel Financial Products GmbH 7X Long Fixed Lever on Cocoa 9.09,DEVN9BMB,,,,
